Tags,Create At,Text
,Thu Apr 01 07:16:45 +0000 2021,"In a bid to immunize the people against COVID-19 infection, the federal government has provided additional doses of coronavirus to the provinces, local media reported on Thursday.
https://t.co/zaZnJLYlvZ"
,Thu Apr 01 07:14:25 +0000 2021,"Coronavirus has claimed 98 more lives in Pakistan during the past 24 hours, taking the overall death toll to 14,530

For More Details: https://t.co/hSBDk87qve

#ARYNews https://t.co/TePJ7hboUx"
,Thu Apr 01 07:14:17 +0000 2021,".@Jhagra says decision to cover COVID-19 treatment taken to provide maximum relief to those suffering from the disease.

#GeoNews 

Read more: https://t.co/gfDG96khGR"
Pak ,Thu Apr 01 07:11:47 +0000 2021,"Download to watch LIVE: https://t.co/9ABVwJmrhl Provinces given doses of Sinopham, CanSino COVID vaccines #Pak #Live #NEWS #Channel #ARYNewsLiveHD #Pakistan #WorldNews #OZOOTV #Android https://t.co/slKvdmK4B4 https://t.co/C4DF219eJY"
,Thu Apr 01 07:09:18 +0000 2021,"@Asad_Umar Btw your planning about acquisition of Vaccines is poor to say the least. Its been  15 days since I registered my parents who are 60 and 61 respectively and still they have not been vaccinated. Now I am also covid +ve so parents are vulnerable.
 kaam kren tweet nahi!"
,Thu Apr 01 07:07:47 +0000 2021,My Covid-19 Patients Can't Get the Treatment They Need
ARYNews ,Thu Apr 01 07:07:39 +0000 2021,"Provinces given doses of Sinopham, CanSino COVID vaccines

#ARYNews 

https://t.co/YeLkNxr0GK"
,Thu Apr 01 07:05:41 +0000 2021,"More than 20 Students of Sir Syed university Karachi Sindh has Tested Positive Covid-19 
But University and Government is Not Taking any Action to Save Students Life They are Playing with Students life.
@omar_quraishi  @SaeedGhani1 @fatah_pak  @Shafqat_Mahmood 
@Asad_Umar https://t.co/mbxjbQs2eS"
,Thu Apr 01 07:00:00 +0000 2021,@asmashirazi Unemployment is dangerous than Covid 💔 we lost so many precious lives!!
ARYNews ,Thu Apr 01 06:48:20 +0000 2021,"Provinces given doses of Sinopham, CanSino COVID vaccines

#ARYNews 

https://t.co/YeLkNxr0GK"
,Thu Apr 01 06:46:09 +0000 2021,"وازا مرضت فھوا یشفین

اور جب میں بیمار ہوتا ہوں تو وہی شفا دیتا ہے

I have tested positive for Covid-19. May Allah have mercy on all Covid affectees. Had 1st dose of vaccine، but antibodies start developing after 2nd dose that was due in a week. Please continue to be careful."
,Thu Apr 01 06:41:44 +0000 2021,"Coronavirus has claimed 98 more lives in Pakistan during the past 24 hours, taking the overall death toll to 14,530

For More Details: https://t.co/hSBDk87qve

#ARYNews https://t.co/TePJ7hboUx"
ARYNews ,Thu Apr 01 06:41:30 +0000 2021,"Provinces given doses of Sinopham, CanSino COVID vaccines

#ARYNews 

https://t.co/YeLkNxr0GK"
ARYNews ,Thu Apr 01 06:40:25 +0000 2021,"Provinces given doses of Sinopham, CanSino COVID vaccines

#ARYNews 

https://t.co/YeLkNxr0GK"
ARYNews ,Thu Apr 01 06:39:36 +0000 2021,"Provinces given doses of Sinopham, CanSino COVID vaccines

#ARYNews 

https://t.co/YeLkNxr0GK"
,Thu Apr 01 06:38:43 +0000 2021,"FBR has achieved 46% revenue growth in Mar 21 due to both low base effect and revival/growth in economy. 
In Mar 20 FBR rev. declined 12% YoY (8MFY20 +17%). Adjusting covid, rev. for Mar 20 should have been Rs434bn. That said, adjusted revenue growth for… https://t.co/2j73Gz4wu9"
,Thu Apr 01 06:38:04 +0000 2021,"@ANINewsUP I'm waiting for holi celebration gathering to be taught as a reason for covid spreading to students and general public just like tableeghi jamat is taught and told as a reason.

But guessing, this is much equality ain't possible in secular India."
,Thu Apr 01 06:34:33 +0000 2021,".@Jhagra says decision to cover COVID-19 treatment taken to provide maximum relief to those suffering from the disease.

#GeoNews 

Read more: https://t.co/gfDG96khGR"
,Thu Apr 01 06:32:44 +0000 2021,"@ShamaJunejo UK
Unemployment rose to 5% from 4.9% as Covid continued to hit the jobs market. Some 1.72M were jobless, D Office 4 National Statistics said, d highest level in five years. Dt was 418,000 more than in the same period the previous year, the biggest increase since late 2009.
USA👇 https://t.co/kKtDFCGBg8"
,Thu Apr 01 06:31:58 +0000 2021,"All people want peace, harmony, progress and above all, good health and the Covid 19 Vaccination available at the Arts Council Vaccination Center is just one such effort in that direction

Mustafa Qureshi | Legendary Film and Television Actor

#acpkhi #artscouncil #covid_19 https://t.co/aBiyZxRK2R"
,Thu Apr 01 06:27:46 +0000 2021,".@Jhagra says decision to cover COVID-19 treatment taken to provide maximum relief to those suffering from the disease.

#GeoNews 

Read more: https://t.co/gfDG96khGR"
,Thu Apr 01 06:25:09 +0000 2021,"All people want peace, harmony, progress and above all, good health and the Covid 19 Vaccination available at the Arts Council Vaccination Center is just one such effort in that direction

Mustafa Qureshi | Legendary Film and Television Actor

#acpkhi #artscouncil #covid_19 https://t.co/aBiyZxRK2R"
,Thu Apr 01 06:24:15 +0000 2021,".@Jhagra says decision to cover COVID-19 treatment taken to provide maximum relief to those suffering from the disease.

#GeoNews 

Read more: https://t.co/gfDG96khGR"
,Thu Apr 01 06:23:00 +0000 2021,"Coronavirus has claimed 98 more lives in Pakistan during the past 24 hours, taking the overall death toll to 14,530

For More Details: https://t.co/hSBDk87qve

#ARYNews https://t.co/TePJ7hboUx"
,Thu Apr 01 06:22:42 +0000 2021,"Coronavirus has claimed 98 more lives in Pakistan during the past 24 hours, taking the overall death toll to 14,530

For More Details: https://t.co/hSBDk87qve

#ARYNews https://t.co/TePJ7hboUx"
,Thu Apr 01 06:21:37 +0000 2021,"Coronavirus has claimed 98 more lives in Pakistan during the past 24 hours, taking the overall death toll to 14,530

For More Details: https://t.co/hSBDk87qve

#ARYNews https://t.co/TePJ7hboUx"
,Thu Apr 01 06:21:06 +0000 2021,"Pakistan has reported a relatively low number of cases of COVID-19, with more than 21,500 infections and nearly 500 deaths.  #MyForcesMyBelief @TeamPakDefense https://t.co/N6i2xoxCzA"
,Thu Apr 01 06:20:57 +0000 2021,"Coronavirus has claimed 98 more lives in Pakistan during the past 24 hours, taking the overall death toll to 14,530

For More Details: https://t.co/hSBDk87qve

#ARYNews https://t.co/TePJ7hboUx"
,Thu Apr 01 06:20:52 +0000 2021,"Coronavirus has claimed 98 more lives in Pakistan during the past 24 hours, taking the overall death toll to 14,530

For More Details: https://t.co/hSBDk87qve

#ARYNews https://t.co/TePJ7hboUx"
,Thu Apr 01 06:18:13 +0000 2021,".@Jhagra says decision to cover COVID-19 treatment taken to provide maximum relief to those suffering from the disease.

#GeoNews 

Read more: https://t.co/gfDG96khGR"
Pakistan Covid_19 ,Thu Apr 01 06:12:18 +0000 2021,"1st April 21 #Pakistan #Covid_19 updates:
Total Tests in Last 24  Hours: 50,055
Positive Cases:  4974 Positivity % : 9.93%
Deaths : 98 
Via @OfficialNcoc"
Pakistan coronavirus ,Thu Apr 01 06:11:05 +0000 2021,"@1secalert: RT @NewsweekPak: #Pakistan reports 4,974 #coronavirus infections after conducting 50,055 tests.

In past 24 hours, 98 deaths have increased fatalities to 14,530, while recoveries have risen to 605,274. Of 53,127 active cases of COVID-19 natio… https://t.co/8cXRnTr6Mo"
,Thu Apr 01 06:06:45 +0000 2021,For latest and detailed covid news and data please always check @omar_quraishi and @Benazir_Shah tweets they are much better than any news channels and govt websites info
,Thu Apr 01 06:05:07 +0000 2021,"Held ncoc meeting today with provincial chief secretaries &amp; reviewed the situation. Based on continuing increase in disease spread &amp; fast pace at which hospital fill up is taking place, particularly critical covid patients, decided to further tighten restrictions."
,Thu Apr 01 05:57:56 +0000 2021,".@Jhagra says decision to cover COVID-19 treatment taken to provide maximum relief to those suffering from the disease.

#GeoNews 

Read more: https://t.co/gfDG96khGR"
,Thu Apr 01 05:57:39 +0000 2021,".@Jhagra says decision to cover COVID-19 treatment taken to provide maximum relief to those suffering from the disease.

#GeoNews 

Read more: https://t.co/gfDG96khGR"
,Thu Apr 01 05:50:43 +0000 2021,"KARACHI, March 29: Former President @AAliZardari received the first dose of COVID-19 vaccine here today. https://t.co/Pq6nkOoI2v"
,Thu Apr 01 05:50:09 +0000 2021,"Pakistan reports 4,974 COVID-19 cases, highest single-day toll since June 20 https://t.co/zY8hz4iUBk"
WearAMask ,Thu Apr 01 05:48:30 +0000 2021,"COVID Pakistan in last 24 hours:
50055 Tests 
4974 Positive Cases
9.93% Positivity rate
98 Deaths
#WearAMask 
For God sake #WearAMask 
#CoronaVirusUpdates #Pakistan"
COVID ,Thu Apr 01 05:47:55 +0000 2021,"Heights of Responsiveness.. Salute to this child!
#COVID https://t.co/XfVHQbQAtV"
,Thu Apr 01 05:38:17 +0000 2021,".@Jhagra says decision to cover COVID-19 treatment taken to provide maximum relief to those suffering from the disease.

#GeoNews 

Read more: https://t.co/gfDG96khGR"
,Thu Apr 01 05:36:39 +0000 2021,It's been a year and the world is still battling  Covid-19. https://t.co/5tAU54A6S3
ARYNews ,Thu Apr 01 05:36:26 +0000 2021,"Sindh bans wedding ceremonies, reduces business timings
#ARYNews

https://t.co/1JmCjZyOOQ"
,Thu Apr 01 05:33:22 +0000 2021,"An unfortunate incident has come to light at Mozang Hospital in Lahore where 350 doses of vaccine imported to prevent the global pandemic have been wasted.

The hospital’s MS has been suspended following an inquiry into missing vaccines.

https://t.co/vxPPeTsD4I https://t.co/6IeMriPHE0"
,Thu Apr 01 05:30:15 +0000 2021,"EDITORIAL: The rest of the letter — like Modi’s — was pleasantries and supportive language regarding the other country’s efforts to tackle the Covid-19 coronavirus. 

For more: https://t.co/nlDGjlo2Q1
#etribune #TribuneOpinion #OpEd"
,Thu Apr 01 05:30:09 +0000 2021,"EDITORIAL: The rest of the letter — like Modi’s — was pleasantries and supportive language regarding the other country’s efforts to tackle the Covid-19 coronavirus. 

For more: https://t.co/nlDGjlo2Q1
#etribune #TribuneOpinion #OpEd"
,Thu Apr 01 05:30:02 +0000 2021,How to reduce spread of Covid-19? https://t.co/DTk986UieQ
Pakistan coronavirus ,Thu Apr 01 05:29:59 +0000 2021,"@1secalert: RT @NewsweekPak: #Pakistan reports 4,974 #coronavirus infections after conducting 50,055 tests.

In past 24 hours, 98 deaths have increased fatalities to 14,530, while recoveries have risen to 605,274. Of 53,127 active cases of COVID-19 natio… https://t.co/8cXRnTr6Mo"
Pakistan Covid_19 ,Thu Apr 01 05:29:58 +0000 2021,"@1secalert: 1st April 21 #Pakistan #Covid_19 updates:
Total Tests in Last 24  Hours: 50,055
Positive Cases:  4974 Positivity % : 9.93%
Deaths : 98 
Via @OfficialNcoc"
,Thu Apr 01 05:29:15 +0000 2021,Covid-infected man trying to travel abroad from Lahore airport arrested https://t.co/tHHAQgcm4w
,Thu Apr 01 05:27:57 +0000 2021,"EDITORIAL: The rest of the letter — like Modi’s — was pleasantries and supportive language regarding the other country’s efforts to tackle the Covid-19 coronavirus. 

For more: https://t.co/nlDGjlo2Q1
#etribune #TribuneOpinion #OpEd"
Pakistan Covid_19 ,Thu Apr 01 05:25:53 +0000 2021,"1st April 21 #Pakistan #Covid_19 updates:
Total Tests in Last 24  Hours: 50,055
Positive Cases:  4974 Positivity % : 9.93%
Deaths : 98 
Via @OfficialNcoc"
,Thu Apr 01 05:21:15 +0000 2021,"Minister of Interior thanks Tableeghi Jamaat management for accepting his request to suspend the Ijtema 

Read more:  https://t.co/ieoSUmElpy

#TheNews #Islamabad"
ARYNews ,Thu Apr 01 05:16:25 +0000 2021,"Sindh bans wedding ceremonies, reduces business timings

For More Details: https://t.co/uQnOM5dpVE

#ARYNews https://t.co/8NbMvJ6tUa"
ARYNews ,Thu Apr 01 05:02:49 +0000 2021,"Sindh bans wedding ceremonies, reduces business timings

For More Details: https://t.co/uQnOM5dpVE

#ARYNews https://t.co/8NbMvJ6tUa"
ARYNews ,Thu Apr 01 05:02:18 +0000 2021,"Sindh bans wedding ceremonies, reduces business timings

For More Details: https://t.co/uQnOM5dpVE

#ARYNews https://t.co/8NbMvJ6tUa"
,Thu Apr 01 04:59:07 +0000 2021,"The new spending offensive comes soon after the US passed a nearly $2 trillion COVID-19 economic stimulus plan.

#GeoNews #JoeBiden #BuildBackBetter

Read more: https://t.co/wshTKg1WuU"
,Thu Apr 01 04:57:16 +0000 2021,"Held ncoc meeting today with provincial chief secretaries &amp; reviewed the situation. Based on continuing increase in disease spread &amp; fast pace at which hospital fill up is taking place, particularly critical covid patients, decided to further tighten restrictions."
